mirror_config,target_name,model_name,accuracy,roc_auc,f1_score
undersampling_random,Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5315602836879433,0.5339649213792287,0.5707907291639629
undersampling_random,Over 2.5 Goals,Neural Network (Dropout),0.5273049645390071,0.5279879163748549,0.5903981714724513
undersampling_random,Under 2.5 Goals,Logistic Regression (Elastic Net),0.5365248226950354,0.5556599183249276,0.4660019525875395
undersampling_random,Under 2.5 Goals,Random Forest,0.5322695035460994,0.5438439594076765,0.4556692527568615
undersampling_random,Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5411347517730497,0.5356233239546759,0.4636053788597007
undersampling_random,Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5315602836879433,0.5339649213792287,0.4801557027640912
undersampling_random,Under 2.5 Goals,Neural Network (Dropout),0.5145390070921986,0.5270341071700406,0.4966660294100237
undersampling_random,BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5053191489361701,0.5072000747205988,0.5429363920530912
undersampling_random,BTTS (Both Teams To Score),Random Forest,0.5070921985815603,0.5026264321715861,0.5643853628881712
undersampling_random,BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.524113475177305,0.5197923809443947,0.5798925125921851
undersampling_random,BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5088652482269503,0.5098681299610439,0.5523478683659419
undersampling_random,BTTS (Both Teams To Score),Neural Network (Dropout),0.5106382978723405,0.5234045145611319,0.5039420373280581
undersampling_random,BTTS - No,Logistic Regression (Elastic Net),0.5056737588652481,0.5071945695512391,0.4459335697912251
undersampling_random,BTTS - No,Random Forest,0.5099290780141844,0.4992161943107443,0.4304243539205846
undersampling_random,BTTS - No,HistGradientBoosting (Early Stopping),0.5219858156028369,0.4978954439025266,0.3924543760233093
undersampling_random,BTTS - No,XGBoost (L1/L2 Regularized),0.5088652482269503,0.5098681299610439,0.4520549995868285
undersampling_random,BTTS - No,Neural Network (Dropout),0.5322695035460994,0.5178549952088531,0.4545333373792196
undersampling_random,Home Clean Sheet,Logistic Regression (Elastic Net),0.5553191489361702,0.605979110707952,0.4345780166069689
undersampling_random,Home Clean Sheet,Random Forest,0.5663120567375886,0.5990838314030208,0.4316697313478429
undersampling_random,Home Clean Sheet,HistGradientBoosting (Early Stopping),0.5702127659574467,0.5966337384979724,0.4296281497032087
undersampling_random,Home Clean Sheet,XGBoost (L1/L2 Regularized),0.5549645390070922,0.5872369802650159,0.4280605109545234
undersampling_random,Home Clean Sheet,Neural Network (Dropout),0.5397163120567375,0.5613092034959776,0.3985499995792138
undersampling_tomek,1X2 (Match Winner),Logistic Regression (Elastic Net),0.523758865248227,0.0,0.4791598199379477
undersampling_tomek,1X2 (Match Winner),Random Forest,0.5209219858156028,0.0,0.4686661560848362
undersampling_tomek,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.5209219858156028,0.0,0.4724569638764514
undersampling_tomek,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.499645390070922,0.0,0.4723349940483128
undersampling_tomek,1X2 (Match Winner),Neural Network (Dropout),0.4719858156028369,0.0,0.451004942732928
undersampling_tomek,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.7053191489361701,0.7134939996479028,0.8003965520942564
undersampling_tomek,Double Chance 1X (Home or Draw),Random Forest,0.6946808510638298,0.6900566811337348,0.7937115051724791
undersampling_tomek,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6868794326241134,0.6848943760923232,0.7902512784337334
undersampling_tomek,Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6836879432624113,0.6831621214449196,0.7844166349926626
undersampling_tomek,Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6836879432624112,0.6652341608325445,0.7818248395033278
undersampling_tomek,Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6393617021276595,0.7081509622067534,0.6639515150347636
undersampling_tomek,Double Chance X2 (Away or Draw),Random Forest,0.6312056737588653,0.6946323715956056,0.6586202885948718
undersampling_tomek,Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6450354609929079,0.68788504231423,0.6682761451849368
undersampling_tomek,Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6226950354609929,0.6864351848409653,0.6430295508452658
undersampling_tomek,Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6060283687943262,0.6637902033976333,0.6008129205459134
undersampling_tomek,Over 2.5 Goals,Logistic Regression (Elastic Net),0.5379432624113475,0.5572697654474221,0.5619953081339233
